PSR_ID,PSR_Latitude,PSR_Longitude,Area_km2,Coverage_pct,Nearby_Features,Closest_SAR_File,SAR_Center_Lat,SAR_Center_Lon,Distance_km,Top_3_SAR_Files
SP_853600_3177620,-85.36,317.762,42.566,95,Cabeus Crater,ch2_sar_nrls_20200305t114902885_d_cp_d18.zip,-85.556794,-44.18789,7.58,ch2_sar_nrls_20200305t114902885_d_cp_d18.zip; ch2_sar_ncls_20200305t114902885_d_cp_d18.zip; ch2_sar_nrls_20200305t154539649_d_cp_d18.zip
SP_823350_2167510,-82.335,216.751,16.088,100,Kocher Crater Laveran Crater,ch2_sar_nrxl_20210924t210704032_d_fp_d18.zip,-82.356333,-141.367096,7.63,ch2_sar_nrxl_20210924t210704032_d_fp_d18.zip; ch2_sar_ncxl_20230904t211341863_d_fp_n18.zip; ch2_sar_ncxl_20230325t040857748_d_fp_d32.zip
SP_821760_0111040,-82.176,11.104,300.589,90,Malapert F Malapert E,ch2_sar_nrxl_20210816t134604549_d_fp_d18.zip,-82.303307,12.776974,7.86,ch2_sar_nrxl_20210816t134604549_d_fp_d18.zip; ch2_sar_ncxl_20210816t134604549_d_fp_d18.zip; ch2_sar_nrxl_20230312t213702625_d_fp_n18.zip
SP_855490_2096710,-85.549,209.671,13.928,50,Kocher Crater Wiechert J,ch2_sar_ncxl_20200823t085159773_d_fp_d18.zip,-85.809181,-150.010044,7.92,ch2_sar_ncxl_20200823t085159773_d_fp_d18.zip; ch2_sar_nrxl_20200823t085159773_d_fp_d18.zip; ch2_sar_ncxl_20191028t075149161_d_fp_d18.zip
SP_889970_0191990,-88.997,19.199,55.408,10,Haworth Crater Shackleton Crater,ch2_sar_ncxl_20221004t131759712_d_fp_d32.zip,-88.861019,31.780418,8.21,ch2_sar_ncxl_20221004t131759712_d_fp_d32.zip; ch2_sar_ncxl_20221004t171403942_d_fp_d32.zip; ch2_sar_ncxl_20221004t151602306_d_fp_d32.zip
SP_854060_3476220,-85.406,347.622,12.211,95,Malapert Crater Cabeus Crater,ch2_sar_ncxl_20191115t074934699_d_fp_gds.zip,-85.220478,-14.841716,8.3,ch2_sar_ncxl_20191115t074934699_d_fp_gds.zip; ch2_sar_nrxl_20191115t074934699_d_fp_gds.zip; ch2_sar_ncxl_20191019t041708323_d_fp_gds.zip
SP_816240_3094250,-81.624,309.425,10.289,90,Cabeus B,ch2_sar_ncxl_20230317t221500130_d_fp_n18.zip,-81.471743,-52.184119,8.53,ch2_sar_ncxl_20230317t221500130_d_fp_n18.zip; ch2_sar_nrxl_20230317t221500130_d_fp_n18.zip; ch2_sar_ncxl_20230414t020141739_d_fp_d32.zip
SP_895060_2806850,-89.506,280.685,53.262,0,de Gerlache Crater Shackleton Crater,ch2_sar_nrxl_20251029t232923718_d_cp_d18.zip,-89.26057,-65.992446,8.57,ch2_sar_nrxl_20251029t232923718_d_cp_d18.zip; ch2_sar_ncxl_20251029t232923718_d_cp_d18.zip; ch2_sar_ncxl_20251029t153741564_d_cp_d18.zip
SP_885280_1846930,-88.528,184.693,11.606,50,Sverdrup Crater,ch2_sar_ncxl_20250914t040048219_d_cp_d18.zip,-88.811083,-177.362248,8.7,ch2_sar_ncxl_20250914t040048219_d_cp_d18.zip; ch2_sar_ncxl_20250914t000452852_d_cp_d18.zip; ch2_sar_ncxl_20251011t091651479_d_cp_d18.zip
SP_862670_2349900,-86.267,234.99,16.024,90,Sverdrup Crater Kocher Crater,ch2_sar_ncxl_20200309t201958048_d_fp_d18.zip,-86.057374,-122.04129,8.76,ch2_sar_ncxl_20200309t201958048_d_fp_d18.zip; ch2_sar_nrxl_20200309t201958048_d_fp_d18.zip; ch2_sar_ncxl_20191026t025014846_d_fp_d18.zip
SP_847720_1650130,-84.772,165.013,11.588,85,Wiechert J Wiechert P,ch2_sar_ncxl_20190922t032857034_d_fp_d18.zip,-84.502895,163.54063,9.16,ch2_sar_ncxl_20190922t032857034_d_fp_d18.zip; ch2_sar_nrxl_20190922t032857034_d_fp_d18.zip; ch2_sar_ncxl_20191101t080434690_d_fp_d18.zip
SP_883220_1475060,-88.322,147.506,50.695,60,Sverdrup Crater Slater Crater,ch2_sar_ncxl_20221027t081654505_d_fp_d32.zip,-88.303479,158.083833,9.45,ch2_sar_ncxl_20221027t081654505_d_fp_d32.zip; ch2_sar_nrxl_20221027t081654505_d_fp_d32.zip; ch2_sar_nrxl_20250920t072821637_d_cp_d18.zip
SP_855330_1655640,-85.533,165.564,17.694,80,Wiechert J Wiechert P,ch2_sar_nrxl_20191101t080434690_d_fp_d18.zip,-85.522839,169.667511,9.71,ch2_sar_nrxl_20191101t080434690_d_fp_d18.zip; ch2_sar_ncxl_20191101t080434690_d_fp_d18.zip; ch2_sar_nrxl_20191101t021112945_d_fp_d18.zip
SP_850230_1826070,-85.023,182.607,371.549,90,Wiechert J,ch2_sar_ncxl_20191031t142441960_d_fp_gds.zip,-85.311957,-179.323431,10.05,ch2_sar_ncxl_20191031t142441960_d_fp_gds.zip; ch2_sar_nrxl_20191031t142441960_d_fp_gds.zip; ch2_sar_nrxl_20191031t023746513_d_fp_d18.zip
SP_869250_0482770,-86.925,48.277,10.912,100,Shoemaker Crater Nobile Crater,ch2_sar_nrxl_20250415t090925329_d_cp_d18.zip,-87.211364,51.791256,10.25,ch2_sar_nrxl_20250415t090925329_d_cp_d18.zip; ch2_sar_ncxl_20250415t090925329_d_cp_d18.zip; ch2_sar_nrxl_20241018t061442850_d_cp_d18.zip
SP_864040_0314430,-86.404,31.443,120.575,70,Nobile Crater Haworth Crater,ch2_sar_nrxl_20191110t115852737_d_fp_d18.zip,-86.338251,26.122441,10.4,ch2_sar_nrxl_20191110t115852737_d_fp_d18.zip; ch2_sar_nrxl_20191110t234554878_d_fp_mad.zip; ch2_sar_nrxl_20200326t084516623_d_fp_d18.zip
SP_859560_3063890,-85.956,306.389,12.787,80,Cabeus Crater,ch2_sar_ncxl_20191021t151236474_d_fp_d18.zip,-85.639084,-51.379538,10.81,ch2_sar_ncxl_20191021t151236474_d_fp_d18.zip; ch2_sar_nrxl_20191021t151236474_d_fp_d18.zip; ch2_sar_nrxl_20191022t010148616_d_fp_d18.zip
SP_823280_2534270,-82.328,253.427,15.588,95,Ashbrook Crater,ch2_sar_ncxl_20210922t175901428_d_fp_d18.zip,-82.533862,-108.816777,10.92,ch2_sar_ncxl_20210922t175901428_d_fp_d18.zip; ch2_sar_ncxl_20230322t091634285_d_fp_d32.zip; ch2_sar_nrxl_20230322t091634285_d_fp_d32.zip
SP_816910_3053810,-81.691,305.381,376.916,100,Cabeus B,ch2_sar_nrxl_20230317t221500130_d_fp_n18.zip,-81.483329,-52.466836,11.44,ch2_sar_nrxl_20230317t221500130_d_fp_n18.zip; ch2_sar_ncxl_20230317t221500130_d_fp_n18.zip; ch2_sar_nrxl_20210821t214152392_d_fp_d18.zip
SP_846940_1753570,-84.694,175.357,30.427,80,Wiechert J Wiechert E,ch2_sar_nrxl_20220406t142256078_d_fp_d18.zip,-84.341449,173.858322,11.54,ch2_sar_nrxl_20220406t142256078_d_fp_d18.zip; ch2_sar_ncxl_20220406t142256078_d_fp_d18.zip; ch2_sar_nrxl_20200509t203322079_d_fp_d18.zip
SP_831370_3119250,-83.137,311.925,12.244,100,Cabeus B Cabeus Crater,ch2_sar_nrxl_20230413t200826011_d_fp_n18.zip,-83.291417,-51.039267,11.61,ch2_sar_nrxl_20230413t200826011_d_fp_n18.zip; ch2_sar_ncxl_20230413t200826011_d_fp_n18.zip; ch2_sar_ncxl_20220907t115402988_d_fp_d32.zip
SP_867870_0536640,-86.787,53.664,11.444,90,Shoemaker Crater Nobile Crater,ch2_sar_ncxl_20250415t090925329_d_cp_d18.zip,-87.175976,53.19623,11.82,ch2_sar_ncxl_20250415t090925329_d_cp_d18.zip; ch2_sar_nrxl_20250415t090925329_d_cp_d18.zip; ch2_sar_ncxl_20241005t190108445_d_cp_d18.zip
SP_865300_2381460,-86.53,238.146,10.361,50,Sverdrup Crater Kocher Crater,ch2_sar_ncxl_20250401t055412571_d_cp_d32.zip,-86.877836,-118.209275,12.31,ch2_sar_ncxl_20250401t055412571_d_cp_d32.zip; ch2_sar_nrxl_20250401t055412571_d_cp_d32.zip; ch2_sar_nrxl_20200309t201958048_d_fp_d18.zip
SP_862590_2848540,-86.259,284.854,58.511,90,Ibn Bajja Crater,ch2_sar_ncxl_20240822t173210604_d_cp_d18.zip,-86.622082,-71.683058,12.79,ch2_sar_ncxl_20240822t173210604_d_cp_d18.zip; ch2_sar_nrxl_20240822t173210604_d_cp_d18.zip; ch2_sar_ncxl_20240822t212502336_d_cp_d18.zip
SP_853570_0498630,-85.357,49.863,139.342,90,Nobile Crater,ch2_sar_nrxl_20191012t190304893_d_fp_d18.zip,-85.776809,50.882889,12.95,ch2_sar_nrxl_20191012t190304893_d_fp_d18.zip; ch2_sar_ncxl_20191012t190304893_d_fp_d18.zip; ch2_sar_ncxl_20240908t224526791_d_cp_d18.zip
SP_849430_2908700,-84.943,290.87,49.381,95,Ibn Bajja Crater Cabeus Crater,ch2_sar_ncxl_20200904t212517034_d_fp_d18.zip,-84.501651,-68.074623,13.7,ch2_sar_ncxl_20200904t212517034_d_fp_d18.zip; ch2_sar_nrxl_20200904t212517034_d_fp_d18.zip; ch2_sar_nrxl_20191023t122001856_d_fp_gds.zip
SP_814340_3246240,-81.434,324.624,19.368,90,Cabeus A,ch2_sar_ncxl_20230412t183406495_d_fp_d32.zip,-81.796919,-33.498388,13.78,ch2_sar_ncxl_20230412t183406495_d_fp_d32.zip; ch2_sar_nrxl_20230412t183406495_d_fp_d32.zip; ch2_sar_nrxl_20230923t150508130_d_fp_d18.zip
SP_832050_0736210,-83.205,73.621,17.482,100,Amundsen Demonax B,ch2_sar_ncxl_20231013t070040354_d_fp_d18.zip,-82.759846,74.56628,13.94,ch2_sar_ncxl_20231013t070040354_d_fp_d18.zip; ch2_sar_nrxl_20231013t070040354_d_fp_d18.zip; ch2_sar_ncxl_20231013t085841972_d_fp_d18.zip
